"Player Name","Country","Role","Bat Mat","Bat Inns","Runs","Bat Avg","Bat SR","100s","50s","HS","Bowl Mat","Bowl Inns","Wickets","Bowl Avg","Econ","Bowl SR","BBI","5W"
"AB de Villiers","RSA","Batter","58","52","1357","26.1","131.45","0","5","78","58","0","0","0","0","0","0/0","0"
"Hashim Amla","RSA","Batter","65","58","1948","33.6","135.13","1","7","100","65","0","0","0","0","0","0/0","0"
"Dale Steyn","RSA","Bowler","101","53","238","5","103.6","0","0","15","101","95","64","33.21","6.64","30","6/54","1"
"Graeme Smith","RSA","Batter","57","51","1611","31.6","137.53","1","6","94","57","0","0","0","0","0","0/0","0"
"Shaun Pollock","RSA","All-Rounder","113","52","650","12.5","122.63","0","2","37","113","107","15","38.78","8.35","27.87","5/56","0"
"Kagiso Rabada","RSA","Bowler","105","94","693","8.2","104.15","0","2","24","105","77","58","29.95","6.83","26.3","6/46","1"
"Quinton de Kock","RSA","WK-Batter","53","47","1527","32.5","146.22","1","6","97","53","0","0","0","0","0","0/0","0"
"Faf du Plessis","RSA","Batter","62","55","1952","35.5","134.5","1","7","106","62","0","0","0","0","0","0/0","0"
"Morne Morkel","RSA","Bowler","95","85","306","4","105.54","0","1","12","95","60","47","29.46","6.96","25.41","5/11","1"
"Makhaya Ntini","RSA","Bowler","113","101","454","5","101.6","0","1","15","113","88","6","31.3","7.95","23.63","5/19","0"
"Herschelle Gibbs","RSA","Batter","89","80","2040","25.5","154.25","1","8","76","89","0","0","0","0","0","0/0","0"
"David Miller","RSA","Batter","89","80","2760","34.5","135.3","1","11","103","89","0","0","0","0","0","0/0","0"
"Kane Williamson","NZL","Batter","92","61","2031","33.3","159.17","1","8","99","92","87","6","38.6","8.16","28.39","5/22","0"
"Ross Taylor","NZL","Batter","94","84","2133","25.4","143.09","1","8","76","94","0","0","0","0","0","0/0","0"
"Martin Guptill","NZL","Batter","62","55","1749","31.8","145.43","1","6","95","62","0","0","0","0","0","0/0","0"
"Trent Boult","NZL","Bowler","96","49","229","5.2","112.95","0","0","15","96","91","74","35.14","7.49","28.13","4/19","1"
"Tim Southee","NZL","Bowler","90","71","536","8.4","103.47","0","2","25","90","85","157","33.25","7.18","27.8","6/37","3"
"Brendon McCullum","NZL","WK-Batter","73","65","2314","35.6","145.26","1","9","106","73","0","0","0","0","0","0/0","0"
"Stephen Fleming","NZL","Batter","98","88","1936","22","149.43","1","7","66","98","0","0","0","0","0","0/0","0"
"Daniel Vettori","NZL","All-Rounder","111","99","1287","13","120.05","0","5","39","111","73","38","30.06","7.03","25.67","6/55","0"
"Nathan Astle","NZL","Batter","115","76","1862","24.5","149.87","1","7","73","115","109","4","25.49","8.01","19.08","2/40","0"
"Tom Latham","NZL","WK-Batter","97","87","2175","25","138.43","1","8","75","97","0","0","0","0","0","0/0","0"
"Kyle Jamieson","NZL","Bowler","90","59","557","10.5","113","0","2","31","90","85","4","25.88","7.45","20.84","2/40","0"
"Lockie Ferguson","NZL","Bowler","87","78","280","4","113.65","0","1","12","87","54","54","36.94","7.52","29.48","4/23","1"
"Corey Anderson","NZL","All-Rounder","72","53","1282","24.2","120.83","0","5","72","72","68","14","25.15","6.89","21.9","5/59","0"
"Chris Gayle","WI","Batter","109","98","2734","27.9","142.45","1","10","83","109","65","19","32.62","6.56","29.81","5/24","0"
"Shivnarine Chanderpaul","WI","Batter","115","103","2070","20.1","159.45","1","8","60","115","0","0","0","0","0","0/0","0"
"Kieron Pollard","WI","All-Rounder","111","87","2201","25.3","140.24","1","8","75","111","105","42","31.23","8.16","22.96","6/32","1"
"Andre Russell","WI","All-Rounder","81","45","877","19.5","121.78","0","3","58","81","76","39","39.63","7.21","32.98","5/17","0"
"Sunil Narine","WI","Bowler","78","46","434","10.5","115.08","0","1","31","78","74","52","34.58","6.93","29.94","4/20","1"
"Jason Holder","WI","All-Rounder","100","59","896","15.2","136.85","0","3","45","100","95","55","35.87","7.74","27.8","4/30","1"
"Dwayne Bravo","WI","All-Rounder","115","72","1584","22","120.13","1","6","66","115","109","78","34.59","8.02","25.88","6/20","1"
"Kumar Sangakkara","SL","WK-Batter","61","54","1695","31.4","127.87","1","6","94","61","0","0","0","0","0","0/0","0"
"Mahela Jayawardene","SL","Batter","68","61","1933","31.7","132.84","1","7","95","68","0","0","0","0","0","0/0","0"
"Sanath Jayasuriya","SL","All-Rounder","97","74","1716","23.2","129.85","1","6","69","97","92","19","31.6","7.44","25.47","4/20","0"
"Muttiah Muralitharan","SL","Bowler","71","0","0","0","0","0","0","0","71","67","13","38.95","7.58","30.82","4/18","0"
"Lasith Malinga","SL","Bowler","114","53","238","5","103.11","0","0","15","114","108","107","38.12","8.36","27.34","6/30","2"
"Chaminda Vaas","SL","Bowler","110","99","712","8","99.75","0","2","24","110","84","6","28.96","7.29","23.83","5/24","0"
"Tillakaratne Dilshan","SL","All-Rounder","95","85","2388","28.1","123.59","1","9","84","95","89","9","28.9","6.63","26.15","6/59","0"
"Angelo Mathews","SL","All-Rounder","80","65","1657","25.5","141.58","1","6","76","80","76","38","31.33","7.08","26.55","6/25","0"
"Rangana Herath","SL","Bowler","117","46","207","5","103.52","0","0","15","117","111","18","28.18","8.46","19.98","6/19","0"
"Thisara Perera","SL","All-Rounder","74","45","1057","23.5","125.37","0","4","70","74","70","51","36.7","7.25","30.37","5/15","1"
"Kusal Mendis","SL","WK-Batter","104","93","2278","24.5","147.18","1","9","73","104","0","0","0","0","0","0/0","0"
"Wanindu Hasaranga","SL","All-Rounder","98","73","1058","14.5","136.61","0","4","43","98","93","91","32.06","7.07","27.2","6/37","2"
"Shakib Al Hasan","BAN","All-Rounder","111","99","2356","23.8","130.17","1","9","71","111","83","140","29.43","7.98","22.13","5/55","3"
"Tamim Iqbal","BAN","Batter","77","69","1656","24","142.07","1","6","72","77","0","0","0","0","0","0/0","0"
"Mushfiqur Rahim","BAN","WK-Batter","115","103","2008","19.5","131.26","1","8","58","115","0","0","0","0","0","0/0","0"
"Mahmudullah","BAN","All-Rounder","110","91","2138","23.5","139.56","1","8","70","110","104","38","35.7","8.29","25.84","4/26","0"
"Mashrafe Mortaza","BAN","Bowler","96","86","774","10","117.82","0","3","30","96","71","42","25.11","8.32","18.1","6/42","1"
"Mustafizur Rahman","BAN","Bowler","118","106","429","4.5","118.79","0","1","13","118","88","107","30.43","7.35","24.83","4/40","2"
"Litton Das","BAN","WK-Batter","97","87","2001","23","142.97","1","8","69","97","0","0","0","0","0","0/0","0"
"Mehidy Hasan Miraz","BAN","All-Rounder","97","87","1348","15.5","141.95","0","5","46","97","50","12","27.9","8.37","20.01","5/35","0"
"Taskin Ahmed","BAN","Bowler","79","52","304","6.5","108.01","0","1","19","79","75","52","26.29","6.99","22.57","4/29","1"
"Soumya Sarkar","BAN","All-Rounder","58","52","962","18.5","141.09","0","3","55","58","50","11","33.49","8.21","24.49","6/23","0"
"Rubel Hossain","BAN","Bowler","63","56","277","5.5","104.85","0","1","16","63","49","28","35.81","8.37","25.68","5/28","0"
"Najmul Hossain Shanto","BAN","Batter","74","66","1617","24.5","158.94","1","6","73","74","0","0","0","0","0","0/0","0"
"Mohammad Ashraful","BAN","Batter","93","83","1618","19.5","134.25","1","6","58","93","71","8","29.25","7.04","24.92","4/20","0"
"KL Rahul","IND","Batter","38","34","1281","37.7","155.06","0","5","113","38","0","0","0","0","0","0/0","0"
"Hardik Pandya","IND","All-Rounder","41","36","954","26.5","150.38","0","3","79","41","38","86","27.69","7.43","22.38","4/37","2"
"Shubman Gill","IND","Batter","42","37","950","25.7","159.88","0","3","77","42","0","0","0","0","0","0/0","0"
"Rishabh Pant","IND","WK-Batter","43","38","881","23.2","136.71","0","3","69","43","0","0","0","0","0","0/0","0"
"Suryakumar Yadav","IND","Batter","30","27","1150","42.6","142.84","0","4","109","30","0","0","0","0","0","0/0","0"
"Mohammed Siraj","IND","Bowler","41","36","129","4","128.22","0","0","12","41","37","14","31.35","7.13","26.36","5/45","0"
"Kuldeep Yadav","IND","Bowler","61","54","388","8","117.61","0","1","24","61","56","65","36.73","8.38","26.28","5/59","1"
"Yashasvi Jaiswal","IND","Batter","34","30","1002","33.4","147.35","0","4","100","34","0","0","0","0","0","0/0","0"
"Axar Patel","IND","All-Rounder","74","57","1396","24.5","150.35","0","5","73","74","70","55","30.94","7.11","26.12","6/22","1"
"Travis Head","AUS","Batter","76","30","975","32.5","162.09","0","3","97","76","72","2","34.79","8.21","25.44","1/26","0"
"Cameron Green","AUS","All-Rounder","75","49","857","17.5","147.41","0","3","52","75","71","7","39.25","8","29.44","5/18","0"
"Mitchell Marsh","AUS","All-Rounder","68","47","1574","33.5","163.17","1","6","100","68","64","17","36.56","8.47","25.89","6/15","0"
"Josh Hazlewood","AUS","Bowler","70","63","283","5","116.43","0","1","15","70","57","61","34.41","7.52","27.44","4/54","1"
"Adam Zampa","AUS","Bowler","78","36","259","8","131.24","0","1","24","78","74","92","33.19","6.78","29.37","5/59","2"
"Glenn Maxwell","AUS","All-Rounder","66","48","1416","29.5","155.14","0","5","88","66","62","40","33.46","6.96","28.83","5/26","1"
"Harry Brook","ENG","Batter","53","47","1339","28.5","150.09","0","5","85","53","0","0","0","0","0","0/0","0"
"Phil Salt","ENG","WK-Batter","56","50","1775","35.5","154.82","1","7","106","56","0","0","0","0","0","0/0","0"
"Mark Wood","ENG","Bowler","37","28","138","5.5","129.88","0","0","16","37","35","50","26.16","7.11","22.06","4/27","1"
"Adil Rashid","ENG","Bowler","77","69","589","9.5","114","0","2","28","77","39","119","37.23","8.38","26.66","6/41","2"
"Sam Curran","ENG","All-Rounder","49","37","536","14.5","159.7","0","2","43","49","46","49","27.47","6.97","23.66","4/34","1"
"Marco Jansen","RSA","All-Rounder","75","67","1038","15.5","133.19","0","4","46","75","49","25","38.89","8.35","27.93","4/33","0"
"Heinrich Klaasen","RSA","WK-Batter","54","48","1128","23.5","137.84","0","4","70","54","0","0","0","0","0","0/0","0"
"Aiden Markram","RSA","All-Rounder","45","40","1220","30.5","135.19","0","4","91","45","40","12","38.58","8.17","28.35","6/14","0"
"Rachin Ravindra","NZL","All-Rounder","66","59","973","16.5","142.4","0","3","49","66","60","13","31.42","7.19","26.23","4/37","0"
"Daryl Mitchell","NZL","All-Rounder","50","40","980","24.5","155.38","0","3","73","50","47","8","27.95","7.42","22.6","5/11","0"
"Devon Conway","NZL","WK-Batter","59","53","2040","38.5","146.37","1","8","115","59","0","0","0","0","0","0/0","0"
"Nicholas Pooran","WI","WK-Batter","74","66","1815","27.5","155.34","1","7","82","74","0","0","0","0","0","0/0","0"
"Shai Hope","WI","WK-Batter","48","43","924","21.5","163.04","0","3","64","48","0","0","0","0","0","0/0","0"
"Pathum Nissanka","SL","Batter","35","31","883","28.5","169.41","0","3","85","35","0","0","0","0","0","0/0","0"
"Fakhar Zaman","PAK","Batter","78","70","1575","22.5","157.04","1","6","67","78","0","0","0","0","0","0/0","0"
"Haris Rauf","PAK","Bowler","66","59","451","8.5","120.52","0","1","25","66","29","96","30.75","8.43","21.88","6/20","2"
"Naseem Shah","PAK","Bowler","61","54","461","9.5","129.11","0","1","28","61","53","24","32.58","7.85","24.9","4/47","0"
